7U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,South Amboy #1,South Amboy #4,South Amboy High School
"Thursday, September 16, 2021",6:30 PM,South Amboy #1,Sayreville #1,Sayreville Babe Ruth
"Thursday, September 16, 2021",6:00 PM,South Amboy #3,South Amboy #2,South Amboy High School
"Saturday, September 18, 2021",6:00 PM,South Amboy #2,South River #1,Grekoski Park
"Saturday, September 18, 2021",6:00 PM,South Amboy #4,South Amboy #3,South Amboy High School
"Tuesday, September 21, 2021",6:30 PM,South Amboy #3,South River #1,Grekoski Park
"Tuesday, September 21, 2021",6:30 PM,South Amboy #4,Sayreville #1,Sayreville Babe Ruth
"Tuesday, September 21, 2021",6:00 PM,Highland Park #1,South Amboy #1,South Amboy High School
"Thursday, September 23, 2021",6:00 PM,South River #1,South Amboy #4,South Amboy High School
"Saturday, September 25, 2021",10:00 AM,Sayreville #1,South Amboy #2,South Amboy High School
"Sunday, September 26, 2021",4:00 PM,South Amboy #3,Highland Park #1,Donaldson Park
"Tuesday, September 28, 2021",6:00 PM,South Amboy #1,South Amboy #3,South Amboy High School
"Tuesday, September 28, 2021",6:30 PM,South Amboy #2,Sayreville #1,Sayreville Babe Ruth
"Tuesday, September 28, 2021",6:30 PM,Highland Park #1,South River #1,Grekoski Park
"Thursday, September 30, 2021",6:00 PM,South Amboy #2,South Amboy #4,South Amboy High School
"Saturday, October 02, 2021",10:00 AM,South River #1,South Amboy #1,South Amboy High School
"Tuesday, October 05, 2021",6:00 PM,Sayreville #1,South Amboy #3,South Amboy High School
"Thursday, October 07, 2021",6:30 PM,South Amboy #4,South River #1,Grekoski Park
"Thursday, October 07, 2021",6:00 PM,Highland Park #1,South Amboy #2,South Amboy High School
"Saturday, October 09, 2021",4:00 PM,Sayreville #1,Highland Park #1,Donaldson Park
"Saturday, October 09, 2021",6:00 PM,South Amboy #2,South Amboy #1,South Amboy High School
"Tuesday, October 12, 2021",6:00 PM,South Amboy #4,South Amboy #1,South Amboy High School
"Tuesday, October 12, 2021",6:30 PM,Sayreville #1,South River #1,Grekoski Park
"Thursday, October 14, 2021",6:00 PM,South Amboy #2,South Amboy #3,South Amboy High School
"Thursday, October 14, 2021",6:30 PM,Highland Park #1,Sayreville #1,Sayreville Babe Ruth
"Saturday, October 16, 2021",4:00 PM,South Amboy #4,Highland Park #1,Donaldson Park
"Saturday, October 16, 2021",10:00 AM,South River #1,South Amboy #2,South Amboy High School
