8U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Wednesday, October 27, 2021",6:30 PM,Old Bridge #1,Old Bridge #2,Mannino Park
"Thursday, October 28, 2021",6:30 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, October 30, 2021",9:30 AM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 30, 2021",10:00 AM,South Amboy #1,Spotswood #1,Spotswood Front Field
16U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy Softball
"Wednesday, September 15, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Saturday, September 18, 2021",9:30 AM,Spotswood #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, September 18, 2021",10:00 AM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Tuesday, September 21, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Wednesday, September 22, 2021",6:30 PM,Spotswood #1,Old Bridge #1,Mannino Park
"Saturday, September 25, 2021",2:00 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, September 25, 2021",5:00 PM,Old Bridge #1,Old Bridge #2,Cheesequake Road Field A
"Wednesday, September 29, 2021",6:30 PM,South Amboy #1,Old Bridge #1,Mannino Park
"Wednesday, September 29, 2021",6:30 PM,Perth Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, October 02, 2021",10:00 AM,Old Bridge #2,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 02, 2021",4:00 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Wednesday, October 06, 2021",6:30 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 09, 2021",10:00 AM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Saturday, October 09, 2021",10:00 AM,South Amboy #1,Perth Amboy #1,Youth Complex Field 2
"Wednesday, October 13, 2021",6:30 PM,Perth Amboy #1,Old Bridge #1,Mannino Park
"Saturday, October 16, 2021",9:30 AM,South Amboy #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 16, 2021",10:00 AM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Wednesday, October 20, 2021",6:30 PM,Spotswood #1,Old Bridge #2,Mannino Park
"Saturday, October 23, 2021",4:00 PM,Perth Amboy #1,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",5:00 PM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field B
"Friday, October 29, 2021",6:30 PM,Perth Amboy #1,Old Bridge #2,Mannino Park
"Saturday, October 30, 2021",4:00 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
